Name,Sessiontype,Presenter,Location,Capacity,Teaser,Description
Matt & Stephanie Corker,Workshops 1,Matt & Stephanie Corker,Location,341,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 1,Matt & Stephanie Corker,Location,342,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 2,Matt & Stephanie Corker,Location,343,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 2,Matt & Stephanie Corker,Location,344,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 2,Matt & Stephanie Corker,Location,345,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 2,Matt & Stephanie Corker,Location,346,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 2,Matt & Stephanie Corker,Location,347,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 2,Matt & Stephanie Corker,Location,348,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 2,Matt & Stephanie Corker,Location,349,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 2,Matt & Stephanie Corker,Location,350,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 2,Matt & Stephanie Corker,Location,351,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 2,Matt & Stephanie Corker,Location,352,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 2,Matt & Stephanie Corker,Location,353,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 2,Matt & Stephanie Corker,Location,354,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 2,Matt & Stephanie Corker,Location,355,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 2,Matt & Stephanie Corker,Location,356,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 2,Matt & Stephanie Corker,Location,357,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 2,Matt & Stephanie Corker,Location,358,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 2,Matt & Stephanie Corker,Location,359,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 2,Matt & Stephanie Corker,Location,360,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 2,Matt & Stephanie Corker,Location,361,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 2,Matt & Stephanie Corker,Location,362,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Workshops 2,Matt & Stephanie Corker,Location,363,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
